model_key;arch_display;size_gb;vram_available;n_layers;hidden_dim;kv_bytes_per_element;num_parallel_cfg;use_unified_kv_cfg;context_length_cfg;ctx_formula;abs_error;rel_error_pct;kv_cache_reg_gb;max_context_length_native
unsloth/glm-4.7-flash-reap-23b-a3b;moe;13.33;2.0700000000000003;47.0;2048.0;1.625;4;True;8192.0;1654.2425327332246;6537.757467266775;79.8;40.71;202752.0
vinpix/ternary-bonsai-27b-stock-mtp@?;mtp;8.79;6.610000000000001;65.0;5120.0;4.0;1;True;196000.0;2482.722355769231;193517.27764423078;98.7;697.93;
vinpix/bonsai-8b-llama.cpp;dense;2.99;12.41;36.0;4096.0;1.5;1;True;65536.0;28053.566261574073;37482.43373842593;57.2;115.96;
noctrex/ernie-4.5-21b-a3b-pt_moe;moe;12.38;3.0199999999999996;28.0;2560.0;1.5;4;True;131072.0;3510.974702380952;127561.02529761905;97.3;10.57;
qwen/qwen3.5-9b;dense;8.28;7.120000000000001;;;1.5;1;False;32768.0;;;;0.0;
mradermacher/gemma-4-19b-a4b-it-reap-i1;moe;12.29;3.110000000000001;30.0;2816.0;1.5;4;True;8192.0;3067.7872474747487;5124.212752525251;62.6;12.46;
prism-ml/bonsai-27b;dense;4.73;10.67;64.0;5120.0;1.5;1;True;196000.0;10854.085286458334;185145.91471354166;94.5;257.7;
ibm-granite/granite-4.1-8b;dense;7.22;8.18;40.0;4096.0;1.5;1;True;98304.0;16642.252604166668;81661.74739583333;83.1;128.85;
mradermacher/gemma-4-26b-a4b-it-i1;moe;13.92;1.4800000000000004;30.0;2816.0;1.5;4;True;22000.0;1459.9116161616166;20540.08838383838;93.4;8.3;
bartowski/google_gemma-4-26b-a4b-it;moe;13.75;1.6500000000000004;30.0;2816.0;1.5;4;True;2048.0;1627.604166666667;420.39583333333303;20.5;8.3;
unsloth/gemma-4-26b-a4b-it;moe;13.58;1.8200000000000003;30.0;2816.0;1.5;4;True;2048.0;1795.2967171717173;252.70328282828268;12.3;8.3;
unsloth/ernie-4.5-21b-a3b-pt;moe;12.48;2.92;28.0;2560.0;1.5;4;True;3030.0;3394.717261904762;364.7172619047619;12.0;10.57;
unsloth/gemma-4-12b-it-qat@q4_k_xl;dense;6.72;8.68;48.0;3840.0;1.5;4;True;32536.0;3924.3344907407404;28611.66550925926;87.9;144.96;
qwen/qwen3-14b;dense;12.12;3.280000000000001;;;1.5;1;True;32768.0;;;;0.0;
vinpix/ternary-bonsai-27b-stock-mtp;mtp;10.49;4.91;65.0;5120.0;1.5;4;True;32536.0;1229.4671474358975;31306.5328525641;96.2;98.15;
